variable,year,count
호내위상,1738,420
職役,1738,2581
직역,1738,2488
姓,1738,120
성,1738,94
名,1738,12794
명,1738,9278
改名,1738,358
개명,1738,349
年齡,1738,130
干支,1738,94
간지,1738,96
出入,1738,638
출입,1738,632
場所,1738,979
장소,1738,942
本,1738,4
본,1738,4
本貫,1738,312
본관,1738,275
主居,1738,98
주거,1738,97
主職役,1738,36
주직역,1738,36
主姓名,1738,1107
주성명,1738,1061
父職役,1738,408
부직역,1738,386
父名,1738,8394
부명,1738,6060
生父職役,1738,19
생부직역,1738,19
生父名,1738,69
생부명,1738,69
母職役,1738,50
모직역,1738,47
母名,1738,1883
모명,1738,1650
所生,1738,18
祖職役,1738,492
조직역,1738,457
祖名,1738,6859
조명,1738,4843
曾祖職役,1738,710
증조직역,1738,660
曾祖名,1738,6654
증조명,1738,4667
外祖職役,1738,416
외조직역,1738,404
外祖名,1738,10705
외조명,1738,9403
外本,1738,331
외본,1738,291
備考,1738,641
전체순번,1741,26420
年度,1741,1
面名,1741,11
면명,1741,11
順番,1741,3866
里順,1741,20
里名,1741,92
리명,1741,91
統,1741,42
統首,1741,747
통수,1741,745
戶,1741,9
主戶,1741,3468
주호,1741,3385
新戶,1741,2
신호,1741,2
代戶,1741,234
대호,1741,232
戶內位相,1741,273
호내위상,1741,270
職役,1741,1253
직역,1741,1218
姓,1741,109
성,1741,86
名,1741,8913
명,1741,6927
改名,1741,209
개명,1741,201
年齡,1741,123
干支,1741,82
간지,1741,82
出入,1741,480
출입,1741,487
場所,1741,664
장소,1741,628
本,1741,4
본,1741,4
本貫,1741,233
본관,1741,221
主居,1741,70
주거,1741,70
主職役,1741,14
주직역,1741,14
主姓名,1741,629
주성명,1741,607
父職役,1741,267
부직역,1741,253
父名,1741,5077
부명,1741,4075
生父職役,1741,12
생부직역,1741,12
生父名,1741,37
생부명,1741,37
母職役,1741,38
모직역,1741,34
母名,1741,1595
모명,1741,1402
所生,1741,14
祖職役,1741,319
조직역,1741,307
祖名,1741,4116
조명,1741,3196
曾祖職役,1741,475
증조직역,1741,452
曾祖名,1741,3893
증조명,1741,3038
外祖職役,1741,306
외조직역,1741,304
外祖名,1741,5614
외조명,1741,5158
外本,1741,262
외본,1741,247
備考,1741,343
전체순번,1744,21127
年度,1744,1
面名,1744,12
면명,1744,12
順番,1744,3307
里順,1744,9
里名,1744,57
리명,1744,56
統,1744,71
統首,1744,675
통수,1744,673
戶,1744,8
主戶,1744,3074
주호,1744,2996
新戶,1744,2
신호,1744,2
代戶,1744,253
대호,1744,253
戶內位相,1744,229
호내위상,1744,229
職役,1744,1015
직역,1744,991
姓,1744,100
성,1744,82
名,1744,7435
명,1744,6038
改名,1744,120
개명,1744,120
年齡,1744,117
干支,1744,78
간지,1744,79
出入,1744,462
출입,1744,463
場所,1744,608
장소,1744,588
本,1744,4
본,1744,4
本貫,1744,218
본관,1744,201
主居,1744,57
주거,1744,56
主職役,1744,15
주직역,1744,15
主姓名,1744,511
주성명,1744,491
父職役,1744,211
부직역,1744,195
父名,1744,4510
부명,1744,3604
生父職役,1744,15
생부직역,1744,15
生父名,1744,33
생부명,1744,33
母職役,1744,28
모직역,1744,26
母名,1744,1275
모명,1744,1245
所生,1744,12
祖職役,1744,266
조직역,1744,248
祖名,1744,3587
조명,1744,2784
曾祖職役,1744,325
증조직역,1744,317
曾祖名,1744,3362
증조명,1744,2596
外祖職役,1744,240
외조직역,1744,232
外祖名,1744,4900
외조명,1744,4489
外本,1744,235
외본,1744,224
備考,1744,315
전체순번,1747,47492
年度,1747,1
面名,1747,18
면명,1747,18
順番,1747,7921
里順,1747,19
里名,1747,121
리명,1747,120
統,1747,51
統首,1747,1430
통수,1747,1410
戶,1747,9
主戶,1747,6318
주호,1747,6127
新戶,1747,2
신호,1747,2
代戶,1747,471
대호,1747,470
戶內位相,1747,388
호내위상,1747,393
職役,1747,2245
직역,1747,2189
姓,1747,122
성,1747,92
名,1747,13458
명,1747,9927
改名,1747,359
개명,1747,352
年齡,1747,140
干支,1747,96
간지,1747,97
出入,1747,563
출입,1747,553
場所,1747,823
장소,1747,792
本,1747,4
본,1747,5
本貫,1747,335
본관,1747,296
主居,1747,109
주거,1747,105
